id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
2,Chicken gumbo,,111,117,1895,1960,0.1,0.8
3,Tomato aux croutons,,13,13,1893,1917,0.25,0.4
4,Onion au gratin,,41,41,1900,1971,0.25,1.0
5,St. Emilion,,66,68,1881,1981,0.0,18.0
8,Chicken soup with rice,,48,49,1897,1961,0.1,0.6
9,Clam broth (cup),,14,16,1899,1962,0.15,0.4
11,Clear green turtle,,157,157,1893,1937,0.25,60.0
16,Pim-olas,,145,148,1897,1918,0.15,35.0
19,India chutney,,16,16,1865,1901,0.1,0.2
21,English walnuts,,83,86,1851,1948,0.1,0.3
23,Pomard,,11,11,1880,1950,0.75,5.0
26,Clams,,170,180,1881,1970,0.1,0.9
29,G. H. Mumm & Co's Extra Dry,,14,14,1895,1914,2.0,4.0
35,Smoked beef in cream,,21,21,1896,1933,0.3,0.9
40,Breakfast,,28,28,1900,1967,0.25,1.0
45,CREAM OF CAULIFLOWER,,18,18,1899,1949,0.1,0.5
50,Cracked Wheat,,120,124,1859,1917,0.1,0.3
51,Malt Breakfast Food,,63,64,1899,1917,0.1,0.35
53,Young Onions,,157,157,1894,1949,0.05,10.0
55,"ROAST SIRLOIN OF BEEF, YORKSHIRE PUDDING",,11,12,1900,1974,0.0,0.75
59,Rockaways,,157,162,1889,1948,0.2,50.0
61,BROWNED POTATOES,,55,58,1893,1980,0.25,20.0
64,Ananas,,94,104,1884,1978,0.0,0.95
70,"Bouillon, en Tasse",,17,17,1897,1906,0.2,0.25
78,Vegetable,,108,116,1892,1987,0.0,1.75
80,Puree of split peas aux croutons,,11,11,1900,1917,0.05,0.35
81,Consomme in cup,,128,128,1896,1949,0.0,20.0
82,"Broiled shad, Maitre d'hotel",,27,27,1889,1937,0.3,0.9
89,New beets,,134,139,1865,1981,0.05,0.5
92,Stewed oyster plant,,28,28,1884,1901,0.1,0.4
93,"Boiled onions, cream sauce",,46,48,1893,1940,0.05,0.45
94,Old fashioned rice pudding,,16,22,1899,1945,0.15,0.3
99,Mush,,18,18,1853,1915,0.05,0.15
100,Rolled Oats,,104,112,1900,1989,0.0,0.35
102,Broiled Mackerel,,41,44,1856,1957,0.3,2.5
104,Strawberries with cream,,145,149,1882,1969,0.0,65.0
105,Compote of fruits,,42,42,1899,1966,0.0,1.15
107,Baked apples with cream,,142,145,1883,1945,0.1,20.0
109,Bananas with cream,,76,77,1900,1957,0.1,0.5
114,Honey in comb,,81,81,1892,1938,0.0,0.4
121,Pot of chocolate,,72,72,1892,1955,0.15,20.0
122,Pitcher of milk,,9,11,1900,1914,0.1,0.15
123,Pot of broma,,16,16,1893,1900,0.2,0.25
126,Sliced Bananas and Cream,,163,169,1900,1949,0.05,0.45
127,Baked Apples and Cream,,112,119,1882,1913,0.05,40.0
129,Quaker Oats,,84,86,1899,1958,0.2,0.25
131,Sugar Cured Ham,,76,79,1893,1987,0.0,4.15
133,Planked shad,,58,58,1896,1907,0.3,150.0
139,Milk rolls,,49,49,1889,1939,0.01,0.1
141,Omelette aux fines herbes,,42,42,1900,1978,0.0,0.7
144,Fish cakes,,148,156,1894,1953,0.0,15.0
152,Lalla Rookh,,116,122,1889,1959,0.0,40.0
160,"Terrapin, Maryland",,100,112,1887,1917,0.65,350.0
161,Sardines on toast,,62,62,1881,1964,0.0,0.5
162,English snipe,,94,94,1882,1907,0.45,60.0
164,Tutti frutti,,124,137,1883,1969,0.2,25.0
167,Fresh mushrooms on toast,,58,59,1891,1952,0.4,50.0
171,Thon marine,,43,43,1896,1957,0.25,0.5
173,Teal duck,,125,127,1889,1908,0.6,125.0
175,Strawberry,,97,102,1865,1973,0.0,4.25
182,Fruits in Season,,136,137,1889,1987,0.0,3.95
184,Oatmeal Porridge,,163,163,1853,1962,0.15,0.15
187,"Canape, Martha",,10,10,1900,1915,0.4,0.65
191,Fried Flounders,,10,10,1900,1901,0.15,15.0
193,Fried smelts,,148,148,1858,1960,0.0,2.5
194,Fried fish,,112,112,1856,1971,0.0,1.75
196,BUZZARD BAY OYSTERS,,62,62,1898,1907,0.2,0.6
197,Strained gumbo,,34,35,1895,1969,0.25,30.0
202,German fried potatoes,,136,142,1898,1969,0.05,0.5
203,Ribs of prime beef,,141,143,1891,1921,0.25,50.0
208,Luncheon,,19,18,1900,1993,0.65,0.65
213,Irish stew,,161,192,1864,1955,0.0,0.5
220,Baba au rhum,,103,108,1882,1985,0.0,25.0
221,Hot buns,,10,10,1900,1901,0.1,0.1
223,Lemon ice cream,,133,133,1852,1981,0.0,25.0
224,Pickled lambs' tongues,,54,54,1895,1962,0.3,0.5
228,Chipped beef,,55,55,1892,1953,0.0,40.0
234,Boned capon,,137,137,1892,1917,0.4,60.0
240,Roast veal,,69,73,1856,1957,0.0,20.0
242,Griddle cakes,,128,138,1858,1987,0.0,3.85
257,Ham & Eggs,,24,24,1881,1964,0.0,4.95
258,Bacon & Eggs,,26,26,1900,1957,0.0,4.75
259,Fried Liver,,29,31,1856,1961,0.0,10.0
266,Box Stew,,90,95,1892,1939,0.2,40.0
272,Eggs au Beurre Noir,,45,46,1896,1941,0.19,30.0
276,Grilled Ham,,51,53,1892,1989,0.0,5.5
277,Calves Liver & Bacon,,18,18,1900,1958,0.4,2.75
284,Oat Meal,,68,81,1880,1957,0.1,0.4
288,Broiled Fresh Mackerel,,120,132,1887,1962,0.0,2.5
317,Graham Muffins,,60,60,1897,1940,0.1,0.2
320,Hot Cakes,,32,32,1900,1969,0.0,0.5
321,Tea and Coffee,,42,42,1900,1937,0.1,0.1
331,Veal and Ham Pie,,50,50,1900,1971,0.0,1.0
336,oatmeal with cream,,104,104,1897,1952,0.1,25.0
337,broiled shad,,119,125,1881,1940,0.25,60.0
338,Milk stew,,47,51,1894,1947,0.2,40.0
339,Boston Stew,,77,84,1900,1939,0.2,0.6
343,Beef Steak,,58,58,1865,1944,0.0,1.0
349,Tartare Sauce,,16,16,1900,1963,0.0,0.15
350,Sausage,,55,57,1894,1987,0.0,25.0
355,Broiled Salt Mackerel,,131,136,1859,1949,0.0,0.8
356,Shad roe and bacon,,64,66,1899,1963,0.2,3.5
365,Fry,,30,36,1900,1919,0.15,50.0
366,Fry with Bacon,,11,11,1900,1919,0.35,0.6
367,Oyster Omelette,,71,85,1892,1946,0.2,25.0
368,Stewed Tripe,,37,38,1856,1943,0.1,10.0
369,Pork Sausage,,27,27,1900,1958,0.25,0.35
372,Mock Turtle,,140,142,1865,1966,0.0,40.0
375,Puree of Tomatoes,,104,105,1866,1939,0.1,0.4
377,Consomme Plain,,30,30,1887,1937,0.15,25.0
383,Gebackene Kartoffeln,,153,156,1900,1969,0.75,0.75
389,Consomme Printanier,,47,52,1891,1959,0.0,0.4
391,Chicken Mulligatawny,,38,41,1897,2001,0.2,0.4
396,Crumb Fry,,8,10,1900,1919,0.3,0.45
397,English Beef,,12,12,1900,1913,0.1,0.4
398,Beef Stew,,83,93,1899,1980,0.0,15.0
411,Ham omelette,,147,153,1891,1985,0.0,15.0
412,Fried hominy,,190,190,1881,1967,0.1,0.25
417,Boiled or Broiled Salt Mackerel,,13,13,1900,1917,0.25,40.0
418,Whitefish,,44,45,1900,1917,0.3,0.75
421,Fried Scollops,,36,36,1865,1917,0.25,0.85
422,Breakfast Bacon,,188,191,1891,1969,0.15,0.75
425,English Mutton Chops,,82,82,1889,1958,0.25,50.0
429,"Corned Beef Hash, Browned",,59,61,1898,1940,0.15,30.0
430,"Veal Cutlets, Breaded, Tomato Sauce",,31,31,1882,1913,0.2,1.0
439,French Fried,,63,65,1893,1973,0.0,30.0
440,Lyonnaise,,103,105,1894,1967,0.0,35.0
442,Saute,,29,30,1900,1961,0.15,15.0
444,Shredded Wheat Biscuits,,33,33,1899,1921,0.0,0.3
445,Vienna Rolls,,143,144,1891,1954,0.03,0.15
448,Corn Meal Mush,,29,29,1892,1918,0.1,0.1
449,Boiled,,53,54,1851,1967,0.0,25.0
453,Broiled Blue Fish,,44,49,1865,1957,0.2,3.75
461,Kippered Herrings,,124,124,1899,1955,0.0,0.5
466,"Eggs, boiled",,168,172,1880,1970,0.1,20.0
468,Consomme Macaroni,,22,22,1892,1907,0.2,0.25
470,Hard Boiled Egg,,11,11,1900,1948,0.05,0.75
491,Yarmouth Bloaters,,85,85,1892,1958,0.2,0.75
514,Honey in the Comb,,50,50,1900,1917,0.2,0.4
518,Quail on Toast,,43,43,1889,1958,0.4,0.6
533,liver and bacon,,140,147,1889,1962,0.1,15.0
535,Fried Chicken a la Maryland,,28,28,1898,1958,0.2,5.6
536,Fried sole,,65,65,1899,1961,0.0,0.4
539,Cold Ham with Potato Salad,,36,36,1900,1955,0.0,1.75
549,"Baked Apple Dumpling, Hard Sauce",,15,15,1900,1953,0.1,0.3
552,Boiled Cabbage,,21,22,1900,1962,0.05,0.35
554,Chicken Liver with Mushrooms,,12,12,1900,1914,0.3,0.6
562,Fruit Pie,,36,36,1900,1981,0.0,1.2
563,Chocolate Pudding with Cream,,16,17,1901,1985,0.05,0.4
